Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
VER,0 days 00:01:40.103000,0 days 00:00:26.651000,0 days 00:00:30.091000,0 days 00:00:43.361000
VER,0 days 00:01:40.494000,0 days 00:00:27.011000,0 days 00:00:30.190000,0 days 00:00:43.293000
VER,0 days 00:01:40.573000,0 days 00:00:26.923000,0 days 00:00:30.187000,0 days 00:00:43.463000
VER,0 days 00:01:40.919000,0 days 00:00:27.106000,0 days 00:00:30.299000,0 days 00:00:43.514000
VER,0 days 00:01:41.147000,0 days 00:00:27.114000,0 days 00:00:30.431000,0 days 00:00:43.602000
VER,0 days 00:01:41.118000,0 days 00:00:27.164000,0 days 00:00:30.362000,0 days 00:00:43.592000
VER,0 days 00:01:41.110000,0 days 00:00:27.129000,0 days 00:00:30.395000,0 days 00:00:43.586000
VER,0 days 00:01:41.155000,0 days 00:00:27.111000,0 days 00:00:30.392000,0 days 00:00:43.652000
VER,0 days 00:01:41.424000,0 days 00:00:27.172000,0 days 00:00:30.519000,0 days 00:00:43.733000
VER,0 days 00:01:41.401000,0 days 00:00:27.170000,0 days 00:00:30.646000,0 days 00:00:43.585000
VER,0 days 00:01:41.318000,0 days 00:00:27.121000,0 days 00:00:30.558000,0 days 00:00:43.639000
VER,0 days 00:01:46.526000,0 days 00:00:27.050000,0 days 00:00:30.576000,0 days 00:00:48.900000
VER,0 days 00:01:59.074000,0 days 00:00:45.631000,0 days 00:00:30.099000,0 days 00:00:43.344000
VER,0 days 00:01:39.591000,0 days 00:00:26.640000,0 days 00:00:29.773000,0 days 00:00:43.178000
VER,0 days 00:01:39.985000,0 days 00:00:26.616000,0 days 00:00:30.137000,0 days 00:00:43.232000
VER,0 days 00:01:39.519000,0 days 00:00:26.503000,0 days 00:00:29.874000,0 days 00:00:43.142000
VER,0 days 00:01:40.070000,0 days 00:00:26.781000,0 days 00:00:30.075000,0 days 00:00:43.214000
VER,0 days 00:01:40.139000,0 days 00:00:26.720000,0 days 00:00:30.245000,0 days 00:00:43.174000
VER,0 days 00:01:40.081000,0 days 00:00:26.759000,0 days 00:00:29.937000,0 days 00:00:43.385000
VER,0 days 00:01:40.490000,0 days 00:00:26.737000,0 days 00:00:30.083000,0 days 00:00:43.670000
VER,0 days 00:02:14.296000,0 days 00:00:35.865000,0 days 00:00:40.703000,0 days 00:00:57.728000
VER,0 days 00:02:17.938000,0 days 00:00:35.570000,0 days 00:00:39.478000,0 days 00:01:02.890000
VER,0 days 00:02:25.050000,0 days 00:00:38.160000,0 days 00:00:46.490000,0 days 00:01:00.400000
VER,0 days 00:01:47.123000,0 days 00:00:26.034000,0 days 00:00:29.474000,0 days 00:00:51.615000
VER,0 days 00:02:26.570000,0 days 00:00:39.616000,0 days 00:00:44.166000,0 days 00:01:02.788000
VER,0 days 00:02:20.118000,0 days 00:00:36.620000,0 days 00:00:44.106000,0 days 00:00:59.392000
VER,0 days 00:02:28.770000,0 days 00:00:35.883000,0 days 00:00:44.116000,0 days 00:01:08.771000
VER,0 days 00:01:38.604000,0 days 00:00:26.060000,0 days 00:00:29.829000,0 days 00:00:42.715000
VER,0 days 00:01:38.406000,0 days 00:00:26.220000,0 days 00:00:29.365000,0 days 00:00:42.821000
VER,0 days 00:01:38.426000,0 days 00:00:26.212000,0 days 00:00:29.467000,0 days 00:00:42.747000
VER,0 days 00:01:38.765000,0 days 00:00:26.531000,0 days 00:00:29.475000,0 days 00:00:42.759000
VER,0 days 00:01:38.825000,0 days 00:00:26.274000,0 days 00:00:29.670000,0 days 00:00:42.881000
VER,0 days 00:01:38.801000,0 days 00:00:26.374000,0 days 00:00:29.635000,0 days 00:00:42.792000
VER,0 days 00:01:38.855000,0 days 00:00:26.332000,0 days 00:00:29.569000,0 days 00:00:42.954000
VER,0 days 00:01:38.742000,0 days 00:00:26.312000,0 days 00:00:29.650000,0 days 00:00:42.780000
VER,0 days 00:01:38.956000,0 days 00:00:26.475000,0 days 00:00:29.690000,0 days 00:00:42.791000
VER,0 days 00:01:39.067000,0 days 00:00:26.480000,0 days 00:00:29.614000,0 days 00:00:42.973000
VER,0 days 00:01:39.227000,0 days 00:00:26.533000,0 days 00:00:29.710000,0 days 00:00:42.984000
VER,0 days 00:01:39.224000,0 days 00:00:26.429000,0 days 00:00:29.694000,0 days 00:00:43.101000
VER,0 days 00:01:39.305000,0 days 00:00:26.502000,0 days 00:00:29.811000,0 days 00:00:42.992000
VER,0 days 00:01:39.216000,0 days 00:00:26.507000,0 days 00:00:29.629000,0 days 00:00:43.080000
VER,0 days 00:01:39.433000,0 days 00:00:26.517000,0 days 00:00:29.767000,0 days 00:00:43.149000
VER,0 days 00:01:39.422000,0 days 00:00:26.620000,0 days 00:00:29.721000,0 days 00:00:43.081000
VER,0 days 00:01:39.325000,0 days 00:00:26.496000,0 days 00:00:29.709000,0 days 00:00:43.120000
VER,0 days 00:01:39.350000,0 days 00:00:26.492000,0 days 00:00:29.719000,0 days 00:00:43.139000
VER,0 days 00:01:39.445000,0 days 00:00:26.510000,0 days 00:00:29.920000,0 days 00:00:43.015000
VER,0 days 00:01:39.276000,0 days 00:00:26.484000,0 days 00:00:29.775000,0 days 00:00:43.017000
VER,0 days 00:01:39.694000,0 days 00:00:26.581000,0 days 00:00:29.964000,0 days 00:00:43.149000
VER,0 days 00:01:39.654000,0 days 00:00:26.533000,0 days 00:00:29.985000,0 days 00:00:43.136000
VER,0 days 00:01:39.773000,0 days 00:00:26.599000,0 days 00:00:29.912000,0 days 00:00:43.262000
VER,0 days 00:01:39.805000,0 days 00:00:26.714000,0 days 00:00:29.867000,0 days 00:00:43.224000
VER,0 days 00:01:40.253000,0 days 00:00:26.661000,0 days 00:00:29.992000,0 days 00:00:43.600000
GAS,0 days 00:01:43.179000,0 days 00:00:27.391000,0 days 00:00:31.424000,0 days 00:00:44.364000
GAS,0 days 00:01:43.012000,0 days 00:00:27.238000,0 days 00:00:31.321000,0 days 00:00:44.453000
GAS,0 days 00:01:42.847000,0 days 00:00:27.150000,0 days 00:00:31.250000,0 days 00:00:44.447000
GAS,0 days 00:01:43.552000,0 days 00:00:27.593000,0 days 00:00:31.399000,0 days 00:00:44.560000
GAS,0 days 00:01:43.494000,0 days 00:00:27.579000,0 days 00:00:31.338000,0 days 00:00:44.577000
GAS,0 days 00:01:43.352000,0 days 00:00:27.528000,0 days 00:00:31.299000,0 days 00:00:44.525000
GAS,0 days 00:01:43.871000,0 days 00:00:27.673000,0 days 00:00:31.519000,0 days 00:00:44.679000
GAS,0 days 00:01:43.691000,0 days 00:00:27.522000,0 days 00:00:31.562000,0 days 00:00:44.607000
