Driver,LapTime,Team,Compound,LapNumber,PitOutTime,PitInTime
VER,0 days 00:01:24.238000,Red Bull Racing,MEDIUM,1.0,,
VER,0 days 00:01:19.367000,Red Bull Racing,MEDIUM,2.0,,
VER,0 days 00:01:19.074000,Red Bull Racing,MEDIUM,3.0,,
VER,0 days 00:01:18.129000,Red Bull Racing,MEDIUM,4.0,,
VER,0 days 00:01:18.019000,Red Bull Racing,MEDIUM,5.0,,
VER,0 days 00:01:17.640000,Red Bull Racing,MEDIUM,6.0,,
VER,0 days 00:01:17.633000,Red Bull Racing,MEDIUM,7.0,,
VER,0 days 00:01:17.397000,Red Bull Racing,MEDIUM,8.0,,
VER,0 days 00:01:17.031000,Red Bull Racing,MEDIUM,9.0,,
VER,0 days 00:01:17.084000,Red Bull Racing,MEDIUM,10.0,,
VER,0 days 00:01:16.858000,Red Bull Racing,MEDIUM,11.0,,
VER,0 days 00:01:16.993000,Red Bull Racing,MEDIUM,12.0,,
VER,0 days 00:01:17.434000,Red Bull Racing,MEDIUM,13.0,,
VER,0 days 00:01:17.065000,Red Bull Racing,MEDIUM,14.0,,
VER,0 days 00:01:17.079000,Red Bull Racing,MEDIUM,15.0,,
VER,0 days 00:01:16.824000,Red Bull Racing,MEDIUM,16.0,,
VER,0 days 00:01:16.860000,Red Bull Racing,MEDIUM,17.0,,
VER,0 days 00:01:16.712000,Red Bull Racing,MEDIUM,18.0,,
VER,0 days 00:01:16.823000,Red Bull Racing,MEDIUM,19.0,,
VER,0 days 00:01:17.214000,Red Bull Racing,MEDIUM,20.0,,
VER,0 days 00:01:16.803000,Red Bull Racing,MEDIUM,21.0,,
VER,0 days 00:01:16.659000,Red Bull Racing,MEDIUM,22.0,,
VER,0 days 00:01:16.604000,Red Bull Racing,MEDIUM,23.0,,
VER,0 days 00:01:16.798000,Red Bull Racing,MEDIUM,24.0,,
VER,0 days 00:01:17.183000,Red Bull Racing,MEDIUM,25.0,,
VER,0 days 00:01:17.212000,Red Bull Racing,MEDIUM,26.0,,
VER,0 days 00:01:17.259000,Red Bull Racing,MEDIUM,27.0,,
VER,0 days 00:01:17.770000,Red Bull Racing,MEDIUM,28.0,,
VER,0 days 00:01:18.001000,Red Bull Racing,MEDIUM,29.0,,
VER,0 days 00:01:18.160000,Red Bull Racing,MEDIUM,30.0,,
VER,0 days 00:01:18.741000,Red Bull Racing,MEDIUM,31.0,,
VER,0 days 00:01:18.816000,Red Bull Racing,MEDIUM,32.0,,
VER,0 days 00:01:18.946000,Red Bull Racing,MEDIUM,33.0,,
VER,0 days 00:01:18.044000,Red Bull Racing,MEDIUM,34.0,,
VER,0 days 00:01:18.024000,Red Bull Racing,MEDIUM,35.0,,
VER,0 days 00:01:17.974000,Red Bull Racing,MEDIUM,36.0,,
VER,0 days 00:01:17.273000,Red Bull Racing,MEDIUM,37.0,,
VER,0 days 00:01:17.122000,Red Bull Racing,MEDIUM,38.0,,
VER,0 days 00:01:16.966000,Red Bull Racing,MEDIUM,39.0,,
