Driver,LapTime,Team,Compound,LapNumber,PitOutTime,PitInTime,Abbreviation,Position
LEC,0 days 00:40:56.330000,Ferrari,MEDIUM,1.0,,0 days 00:56:45.433000,LEC,1.0
LEC,,Ferrari,HARD,2.0,0 days 01:36:03.182000,,LEC,1.0
LEC,0 days 00:01:24.624000,Ferrari,HARD,3.0,,,LEC,1.0
LEC,0 days 00:01:22.625000,Ferrari,HARD,4.0,,,LEC,1.0
LEC,0 days 00:01:21.795000,Ferrari,HARD,5.0,,,LEC,1.0
LEC,0 days 00:01:21.145000,Ferrari,HARD,6.0,,,LEC,1.0
LEC,0 days 00:01:20.980000,Ferrari,HARD,7.0,,,LEC,1.0
LEC,0 days 00:01:21.030000,Ferrari,HARD,8.0,,,LEC,1.0
LEC,0 days 00:01:20.114000,Ferrari,HARD,9.0,,,LEC,1.0
LEC,0 days 00:01:20.775000,Ferrari,HARD,10.0,,,LEC,1.0
LEC,0 days 00:01:21.046000,Ferrari,HARD,11.0,,,LEC,1.0
LEC,0 days 00:01:20.252000,Ferrari,HARD,12.0,,,LEC,1.0
LEC,0 days 00:01:19.017000,Ferrari,HARD,13.0,,,LEC,1.0
LEC,0 days 00:01:19.913000,Ferrari,HARD,14.0,,,LEC,1.0
LEC,0 days 00:01:19.838000,Ferrari,HARD,15.0,,,LEC,1.0
LEC,0 days 00:01:20.156000,Ferrari,HARD,16.0,,,LEC,1.0
LEC,0 days 00:01:20.279000,Ferrari,HARD,17.0,,,LEC,1.0
LEC,0 days 00:01:19.580000,Ferrari,HARD,18.0,,,LEC,1.0
LEC,0 days 00:01:18.842000,Ferrari,HARD,19.0,,,LEC,1.0
LEC,0 days 00:01:18.724000,Ferrari,HARD,20.0,,,LEC,1.0
LEC,0 days 00:01:18.472000,Ferrari,HARD,21.0,,,LEC,1.0
LEC,0 days 00:01:18.620000,Ferrari,HARD,22.0,,,LEC,1.0
LEC,0 days 00:01:18.458000,Ferrari,HARD,23.0,,,LEC,1.0
LEC,0 days 00:01:18.725000,Ferrari,HARD,24.0,,,LEC,1.0
LEC,0 days 00:01:18.973000,Ferrari,HARD,25.0,,,LEC,1.0
LEC,0 days 00:01:18.445000,Ferrari,HARD,26.0,,,LEC,1.0
LEC,0 days 00:01:18.351000,Ferrari,HARD,27.0,,,LEC,1.0
LEC,0 days 00:01:18.710000,Ferrari,HARD,28.0,,,LEC,1.0
LEC,0 days 00:01:19.053000,Ferrari,HARD,29.0,,,LEC,1.0
LEC,0 days 00:01:19.935000,Ferrari,HARD,30.0,,,LEC,1.0
LEC,0 days 00:01:18.393000,Ferrari,HARD,31.0,,,LEC,1.0
LEC,0 days 00:01:19.125000,Ferrari,HARD,32.0,,,LEC,1.0
LEC,0 days 00:01:18.494000,Ferrari,HARD,33.0,,,LEC,1.0
LEC,0 days 00:01:19.319000,Ferrari,HARD,34.0,,,LEC,1.0
LEC,0 days 00:01:18.530000,Ferrari,HARD,35.0,,,LEC,1.0
LEC,0 days 00:01:18.689000,Ferrari,HARD,36.0,,,LEC,1.0
LEC,0 days 00:01:18.925000,Ferrari,HARD,37.0,,,LEC,1.0
LEC,0 days 00:01:18.528000,Ferrari,HARD,38.0,,,LEC,1.0
LEC,0 days 00:01:18.181000,Ferrari,HARD,39.0,,,LEC,1.0
LEC,0 days 00:01:18.733000,Ferrari,HARD,40.0,,,LEC,1.0
LEC,0 days 00:01:18.694000,Ferrari,HARD,41.0,,,LEC,1.0
LEC,0 days 00:01:19.277000,Ferrari,HARD,42.0,,,LEC,1.0
LEC,0 days 00:01:17.865000,Ferrari,HARD,43.0,,,LEC,1.0
LEC,0 days 00:01:18.276000,Ferrari,HARD,44.0,,,LEC,1.0
LEC,0 days 00:01:18.541000,Ferrari,HARD,45.0,,,LEC,1.0
LEC,0 days 00:01:18.567000,Ferrari,HARD,46.0,,,LEC,1.0
LEC,0 days 00:01:19.185000,Ferrari,HARD,47.0,,,LEC,1.0
LEC,0 days 00:01:17.941000,Ferrari,HARD,48.0,,,LEC,1.0
LEC,0 days 00:01:18.506000,Ferrari,HARD,49.0,,,LEC,1.0
LEC,0 days 00:01:18.185000,Ferrari,HARD,50.0,,,LEC,1.0
LEC,0 days 00:01:17.790000,Ferrari,HARD,51.0,,,LEC,1.0
LEC,0 days 00:01:18.311000,Ferrari,HARD,52.0,,,LEC,1.0
LEC,0 days 00:01:17.748000,Ferrari,HARD,53.0,,,LEC,1.0
LEC,0 days 00:01:17.357000,Ferrari,HARD,54.0,,,LEC,1.0
LEC,0 days 00:01:17.444000,Ferrari,HARD,55.0,,,LEC,1.0
LEC,0 days 00:01:17.266000,Ferrari,HARD,56.0,,,LEC,1.0
LEC,0 days 00:01:17.640000,Ferrari,HARD,57.0,,,LEC,1.0
LEC,0 days 00:01:17.028000,Ferrari,HARD,58.0,,,LEC,1.0
LEC,0 days 00:01:17.034000,Ferrari,HARD,59.0,,,LEC,1.0
LEC,0 days 00:01:16.414000,Ferrari,HARD,60.0,,,LEC,1.0
LEC,0 days 00:01:16.863000,Ferrari,HARD,61.0,,,LEC,1.0
LEC,0 days 00:01:17.454000,Ferrari,HARD,62.0,,,LEC,1.0
LEC,0 days 00:01:16.971000,Ferrari,HARD,63.0,,,LEC,1.0
LEC,0 days 00:01:16.560000,Ferrari,HARD,64.0,,,LEC,1.0
LEC,0 days 00:01:16.607000,Ferrari,HARD,65.0,,,LEC,1.0
LEC,0 days 00:01:16.489000,Ferrari,HARD,66.0,,,LEC,1.0
LEC,0 days 00:01:15.941000,Ferrari,HARD,67.0,,,LEC,1.0
LEC,0 days 00:01:16.082000,Ferrari,HARD,68.0,,,LEC,1.0
LEC,0 days 00:01:16.373000,Ferrari,HARD,69.0,,,LEC,1.0
LEC,0 days 00:01:15.767000,Ferrari,HARD,70.0,,,LEC,1.0
LEC,0 days 00:01:15.162000,Ferrari,HARD,71.0,,,LEC,1.0
LEC,0 days 00:01:15.547000,Ferrari,HARD,72.0,,,LEC,1.0
LEC,0 days 00:01:16.219000,Ferrari,HARD,73.0,,,LEC,1.0
LEC,0 days 00:01:16.105000,Ferrari,HARD,74.0,,,LEC,1.0
LEC,0 days 00:01:16.387000,Ferrari,HARD,75.0,,,LEC,1.0
LEC,0 days 00:01:16.808000,Ferrari,HARD,76.0,,,LEC,1.0
LEC,0 days 00:01:16.933000,Ferrari,HARD,77.0,,,LEC,1.0
LEC,0 days 00:01:18.636000,Ferrari,HARD,78.0,,,LEC,1.0
PIA,0 days 00:40:58.744000,McLaren,MEDIUM,1.0,,0 days 00:56:48.100000,PIA,2.0
PIA,,McLaren,HARD,2.0,0 days 01:36:05.541000,,PIA,2.0
PIA,0 days 00:01:24.953000,McLaren,HARD,3.0,,,PIA,2.0
PIA,0 days 00:01:22.314000,McLaren,HARD,4.0,,,PIA,2.0
PIA,0 days 00:01:22.019000,McLaren,HARD,5.0,,,PIA,2.0
PIA,0 days 00:01:21.354000,McLaren,HARD,6.0,,,PIA,2.0
PIA,0 days 00:01:20.808000,McLaren,HARD,7.0,,,PIA,2.0
PIA,0 days 00:01:21.058000,McLaren,HARD,8.0,,,PIA,2.0
PIA,0 days 00:01:19.906000,McLaren,HARD,9.0,,,PIA,2.0
PIA,0 days 00:01:20.890000,McLaren,HARD,10.0,,,PIA,2.0
PIA,0 days 00:01:20.898000,McLaren,HARD,11.0,,,PIA,2.0
PIA,0 days 00:01:20.135000,McLaren,HARD,12.0,,,PIA,2.0
PIA,0 days 00:01:18.745000,McLaren,HARD,13.0,,,PIA,2.0
PIA,0 days 00:01:20.014000,McLaren,HARD,14.0,,,PIA,2.0
PIA,0 days 00:01:20.264000,McLaren,HARD,15.0,,,PIA,2.0
PIA,0 days 00:01:19.829000,McLaren,HARD,16.0,,,PIA,2.0
PIA,0 days 00:01:20.028000,McLaren,HARD,17.0,,,PIA,2.0
PIA,0 days 00:01:19.832000,McLaren,HARD,18.0,,,PIA,2.0
PIA,0 days 00:01:19.179000,McLaren,HARD,19.0,,,PIA,2.0
PIA,0 days 00:01:19.055000,McLaren,HARD,20.0,,,PIA,2.0
PIA,0 days 00:01:18.601000,McLaren,HARD,21.0,,,PIA,2.0
PIA,0 days 00:01:18.585000,McLaren,HARD,22.0,,,PIA,2.0
PIA,0 days 00:01:18.658000,McLaren,HARD,23.0,,,PIA,2.0
PIA,0 days 00:01:18.636000,McLaren,HARD,24.0,,,PIA,2.0
PIA,0 days 00:01:18.784000,McLaren,HARD,25.0,,,PIA,2.0
PIA,0 days 00:01:18.440000,McLaren,HARD,26.0,,,PIA,2.0
PIA,0 days 00:01:18.523000,McLaren,HARD,27.0,,,PIA,2.0
PIA,0 days 00:01:18.791000,McLaren,HARD,28.0,,,PIA,2.0
PIA,0 days 00:01:19.010000,McLaren,HARD,29.0,,,PIA,2.0
PIA,0 days 00:01:19.396000,McLaren,HARD,30.0,,,PIA,2.0
PIA,0 days 00:01:18.449000,McLaren,HARD,31.0,,,PIA,2.0
PIA,0 days 00:01:18.969000,McLaren,HARD,32.0,,,PIA,2.0
PIA,0 days 00:01:19.060000,McLaren,HARD,33.0,,,PIA,2.0
PIA,0 days 00:01:18.978000,McLaren,HARD,34.0,,,PIA,2.0
PIA,0 days 00:01:18.605000,McLaren,HARD,35.0,,,PIA,2.0
PIA,0 days 00:01:18.882000,McLaren,HARD,36.0,,,PIA,2.0
PIA,0 days 00:01:18.612000,McLaren,HARD,37.0,,,PIA,2.0
PIA,0 days 00:01:18.731000,McLaren,HARD,38.0,,,PIA,2.0
PIA,0 days 00:01:18.362000,McLaren,HARD,39.0,,,PIA,2.0
PIA,0 days 00:01:18.951000,McLaren,HARD,40.0,,,PIA,2.0
PIA,0 days 00:01:18.846000,McLaren,HARD,41.0,,,PIA,2.0
PIA,0 days 00:01:19.795000,McLaren,HARD,42.0,,,PIA,2.0
PIA,0 days 00:01:18.198000,McLaren,HARD,43.0,,,PIA,2.0
PIA,0 days 00:01:18.277000,McLaren,HARD,44.0,,,PIA,2.0
PIA,0 days 00:01:18.082000,McLaren,HARD,45.0,,,PIA,2.0
PIA,0 days 00:01:18.623000,McLaren,HARD,46.0,,,PIA,2.0
PIA,0 days 00:01:18.399000,McLaren,HARD,47.0,,,PIA,2.0
PIA,0 days 00:01:18.395000,McLaren,HARD,48.0,,,PIA,2.0
PIA,0 days 00:01:18.136000,McLaren,HARD,49.0,,,PIA,2.0
PIA,0 days 00:01:18.350000,McLaren,HARD,50.0,,,PIA,2.0
PIA,0 days 00:01:17.909000,McLaren,HARD,51.0,,,PIA,2.0
PIA,0 days 00:01:18.214000,McLaren,HARD,52.0,,,PIA,2.0
PIA,0 days 00:01:17.609000,McLaren,HARD,53.0,,,PIA,2.0
PIA,0 days 00:01:17.362000,McLaren,HARD,54.0,,,PIA,2.0
PIA,0 days 00:01:17.445000,McLaren,HARD,55.0,,,PIA,2.0
PIA,0 days 00:01:17.456000,McLaren,HARD,56.0,,,PIA,2.0
PIA,0 days 00:01:17.300000,McLaren,HARD,57.0,,,PIA,2.0
PIA,0 days 00:01:17.344000,McLaren,HARD,58.0,,,PIA,2.0
PIA,0 days 00:01:17.042000,McLaren,HARD,59.0,,,PIA,2.0
PIA,0 days 00:01:16.617000,McLaren,HARD,60.0,,,PIA,2.0
PIA,0 days 00:01:16.771000,McLaren,HARD,61.0,,,PIA,2.0
PIA,0 days 00:01:17.095000,McLaren,HARD,62.0,,,PIA,2.0
PIA,0 days 00:01:16.921000,McLaren,HARD,63.0,,,PIA,2.0
PIA,0 days 00:01:16.909000,McLaren,HARD,64.0,,,PIA,2.0
PIA,0 days 00:01:16.391000,McLaren,HARD,65.0,,,PIA,2.0
PIA,0 days 00:01:16.640000,McLaren,HARD,66.0,,,PIA,2.0
PIA,0 days 00:01:16.596000,McLaren,HARD,67.0,,,PIA,2.0
PIA,0 days 00:01:16.601000,McLaren,HARD,68.0,,,PIA,2.0
PIA,0 days 00:01:17.371000,McLaren,HARD,69.0,,,PIA,2.0
PIA,0 days 00:01:17.270000,McLaren,HARD,70.0,,,PIA,2.0
PIA,0 days 00:01:17.184000,McLaren,HARD,71.0,,,PIA,2.0
PIA,0 days 00:01:16.652000,McLaren,HARD,72.0,,,PIA,2.0
PIA,0 days 00:01:16.281000,McLaren,HARD,73.0,,,PIA,2.0
PIA,0 days 00:01:16.356000,McLaren,HARD,74.0,,,PIA,2.0
PIA,0 days 00:01:16.644000,McLaren,HARD,75.0,,,PIA,2.0
PIA,0 days 00:01:16.590000,McLaren,HARD,76.0,,,PIA,2.0
PIA,0 days 00:01:16.734000,McLaren,HARD,77.0,,,PIA,2.0
PIA,0 days 00:01:17.126000,McLaren,HARD,78.0,,,PIA,2.0
SAI,0 days 00:41:02.721000,Ferrari,MEDIUM,1.0,,0 days 00:57:22.741000,SAI,3.0
SAI,,Ferrari,HARD,2.0,0 days 01:36:09.554000,,SAI,3.0
SAI,0 days 00:01:25.012000,Ferrari,HARD,3.0,,,SAI,3.0
SAI,0 days 00:01:22.358000,Ferrari,HARD,4.0,,,SAI,3.0
SAI,0 days 00:01:21.978000,Ferrari,HARD,5.0,,,SAI,3.0
SAI,0 days 00:01:21.163000,Ferrari,HARD,6.0,,,SAI,3.0
SAI,0 days 00:01:21.466000,Ferrari,HARD,7.0,,,SAI,3.0
SAI,0 days 00:01:20.272000,Ferrari,HARD,8.0,,,SAI,3.0
SAI,0 days 00:01:20.525000,Ferrari,HARD,9.0,,,SAI,3.0
SAI,0 days 00:01:21.259000,Ferrari,HARD,10.0,,,SAI,3.0
SAI,0 days 00:01:20.246000,Ferrari,HARD,11.0,,,SAI,3.0
SAI,0 days 00:01:19.974000,Ferrari,HARD,12.0,,,SAI,3.0
SAI,0 days 00:01:20.017000,Ferrari,HARD,13.0,,,SAI,3.0
SAI,0 days 00:01:19.480000,Ferrari,HARD,14.0,,,SAI,3.0
SAI,0 days 00:01:19.543000,Ferrari,HARD,15.0,,,SAI,3.0
SAI,0 days 00:01:20.579000,Ferrari,HARD,16.0,,,SAI,3.0
SAI,0 days 00:01:20.076000,Ferrari,HARD,17.0,,,SAI,3.0
SAI,0 days 00:01:19.177000,Ferrari,HARD,18.0,,,SAI,3.0
SAI,0 days 00:01:19.445000,Ferrari,HARD,19.0,,,SAI,3.0
SAI,0 days 00:01:19.403000,Ferrari,HARD,20.0,,,SAI,3.0
SAI,0 days 00:01:18.917000,Ferrari,HARD,21.0,,,SAI,3.0
SAI,0 days 00:01:18.889000,Ferrari,HARD,22.0,,,SAI,3.0
SAI,0 days 00:01:18.993000,Ferrari,HARD,23.0,,,SAI,3.0
SAI,0 days 00:01:18.568000,Ferrari,HARD,24.0,,,SAI,3.0
SAI,0 days 00:01:18.537000,Ferrari,HARD,25.0,,,SAI,3.0
SAI,0 days 00:01:18.088000,Ferrari,HARD,26.0,,,SAI,3.0
SAI,0 days 00:01:19.490000,Ferrari,HARD,27.0,,,SAI,3.0
SAI,0 days 00:01:19.281000,Ferrari,HARD,28.0,,,SAI,3.0
SAI,0 days 00:01:18.697000,Ferrari,HARD,29.0,,,SAI,3.0
SAI,0 days 00:01:17.326000,Ferrari,HARD,30.0,,,SAI,3.0
SAI,0 days 00:01:19.784000,Ferrari,HARD,31.0,,,SAI,3.0
SAI,0 days 00:01:20.136000,Ferrari,HARD,32.0,,,SAI,3.0
SAI,0 days 00:01:18.778000,Ferrari,HARD,33.0,,,SAI,3.0
SAI,0 days 00:01:19.013000,Ferrari,HARD,34.0,,,SAI,3.0
SAI,0 days 00:01:18.465000,Ferrari,HARD,35.0,,,SAI,3.0
SAI,0 days 00:01:19.275000,Ferrari,HARD,36.0,,,SAI,3.0
SAI,0 days 00:01:17.577000,Ferrari,HARD,37.0,,,SAI,3.0
SAI,0 days 00:01:18.412000,Ferrari,HARD,38.0,,,SAI,3.0
SAI,0 days 00:01:18.310000,Ferrari,HARD,39.0,,,SAI,3.0
SAI,0 days 00:01:18.653000,Ferrari,HARD,40.0,,,SAI,3.0
SAI,0 days 00:01:18.714000,Ferrari,HARD,41.0,,,SAI,3.0
SAI,0 days 00:01:19.171000,Ferrari,HARD,42.0,,,SAI,3.0
SAI,0 days 00:01:19.594000,Ferrari,HARD,43.0,,,SAI,3.0
SAI,0 days 00:01:18.762000,Ferrari,HARD,44.0,,,SAI,3.0
SAI,0 days 00:01:17.885000,Ferrari,HARD,45.0,,,SAI,3.0
SAI,0 days 00:01:18.731000,Ferrari,HARD,46.0,,,SAI,3.0
SAI,0 days 00:01:18.141000,Ferrari,HARD,47.0,,,SAI,3.0
SAI,0 days 00:01:17.894000,Ferrari,HARD,48.0,,,SAI,3.0
