Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Abbreviation,Position
HAM,0 days 00:01:31.420000,0 days 00:00:29.249000,0 days 00:00:37.314000,0 days 00:00:24.857000,HAM,1.0
HAM,0 days 00:01:31.716000,0 days 00:00:29.287000,0 days 00:00:37.133000,0 days 00:00:25.296000,HAM,1.0
HAM,0 days 00:01:31.988000,0 days 00:00:29.554000,0 days 00:00:37.258000,0 days 00:00:25.176000,HAM,1.0
HAM,0 days 00:01:31.677000,0 days 00:00:29.469000,0 days 00:00:37.231000,0 days 00:00:24.977000,HAM,1.0
HAM,0 days 00:01:31.746000,0 days 00:00:29.486000,0 days 00:00:37.195000,0 days 00:00:25.065000,HAM,1.0
HAM,0 days 00:01:31.675000,0 days 00:00:29.518000,0 days 00:00:37.064000,0 days 00:00:25.093000,HAM,1.0
HAM,0 days 00:01:31.760000,0 days 00:00:29.475000,0 days 00:00:37.201000,0 days 00:00:25.084000,HAM,1.0
HAM,0 days 00:01:31.564000,0 days 00:00:29.496000,0 days 00:00:36.954000,0 days 00:00:25.114000,HAM,1.0
HAM,0 days 00:01:31.515000,0 days 00:00:29.484000,0 days 00:00:36.923000,0 days 00:00:25.108000,HAM,1.0
HAM,0 days 00:01:31.487000,0 days 00:00:29.412000,0 days 00:00:37.003000,0 days 00:00:25.072000,HAM,1.0
HAM,0 days 00:01:31.563000,0 days 00:00:29.429000,0 days 00:00:36.937000,0 days 00:00:25.197000,HAM,1.0
HAM,0 days 00:01:31.881000,0 days 00:00:29.817000,0 days 00:00:37.067000,0 days 00:00:24.997000,HAM,1.0
HAM,0 days 00:01:31.609000,0 days 00:00:29.552000,0 days 00:00:37.045000,0 days 00:00:25.012000,HAM,1.0
HAM,0 days 00:01:31.563000,0 days 00:00:29.520000,0 days 00:00:37.024000,0 days 00:00:25.019000,HAM,1.0
HAM,0 days 00:01:31.931000,0 days 00:00:29.491000,0 days 00:00:36.755000,0 days 00:00:25.685000,HAM,1.0
HAM,0 days 00:01:33.721000,0 days 00:00:29.743000,0 days 00:00:36.945000,0 days 00:00:27.033000,HAM,1.0
HAM,0 days 00:01:35.071000,0 days 00:00:29.752000,0 days 00:00:37.612000,0 days 00:00:27.707000,HAM,1.0
HAM,0 days 00:01:43.711000,0 days 00:00:34.046000,0 days 00:00:40.683000,0 days 00:00:28.982000,HAM,1.0
HAM,0 days 00:01:40.021000,0 days 00:00:33.695000,0 days 00:00:39.257000,0 days 00:00:27.069000,HAM,1.0
HAM,0 days 00:01:32.156000,0 days 00:00:29.881000,0 days 00:00:37.046000,0 days 00:00:25.229000,HAM,1.0
HAM,0 days 00:01:31.095000,0 days 00:00:29.387000,0 days 00:00:36.821000,0 days 00:00:24.887000,HAM,1.0
HAM,0 days 00:01:31.107000,0 days 00:00:29.369000,0 days 00:00:36.814000,0 days 00:00:24.924000,HAM,1.0
HAM,0 days 00:01:31.635000,0 days 00:00:29.344000,0 days 00:00:36.872000,0 days 00:00:25.419000,HAM,1.0
HAM,0 days 00:01:34.988000,0 days 00:00:29.923000,0 days 00:00:38.568000,0 days 00:00:26.497000,HAM,1.0
HAM,0 days 00:01:40.792000,0 days 00:00:30.114000,0 days 00:00:42.065000,0 days 00:00:28.613000,HAM,1.0
HAM,0 days 00:01:45.183000,0 days 00:00:31.477000,0 days 00:00:45.498000,0 days 00:00:28.208000,HAM,1.0
HAM,0 days 00:02:00.866000,0 days 00:00:52.668000,0 days 00:00:40.319000,0 days 00:00:27.879000,HAM,1.0
HAM,0 days 00:01:40.420000,0 days 00:00:31.690000,0 days 00:00:40.569000,0 days 00:00:28.161000,HAM,1.0
